Meldedatum,AnzahlFall
2020-01-02,1
2020-01-23,1
2020-01-28,2
2020-01-29,2
2020-01-31,4
2020-02-01,1
2020-02-03,1
2020-02-04,4
2020-02-05,2
2020-02-06,1
2020-02-07,1
2020-02-10,1
2020-02-11,2
2020-02-12,1
2020-02-15,1
2020-02-17,2
2020-02-18,1
2020-02-19,1
2020-02-20,2
2020-02-24,1
2020-02-25,3
2020-02-26,8
2020-02-27,24
2020-02-28,45
2020-02-29,23
2020-03-01,35
2020-03-02,43
2020-03-03,85
2020-03-04,157
2020-03-05,186
2020-03-06,186
2020-03-07,142
2020-03-08,106
2020-03-09,348
2020-03-10,595
2020-03-11,758
2020-03-12,990
2020-03-13,1468
2020-03-14,1301
2020-03-15,978
2020-03-16,2035
2020-03-17,3033
2020-03-18,3605
2020-03-19,4045
2020-03-20,4050
2020-03-21,3355
2020-03-22,2266
2020-03-23,3727
2020-03-24,4874
2020-03-25,5672
2020-03-26,5899
2020-03-27,5971
2020-03-28,4719
2020-03-29,3074
2020-03-30,4124
2020-03-31,6039
2020-04-01,6257
2020-04-02,6542
2020-04-03,6182
2020-04-04,4340
2020-04-05,2532
2020-04-06,3659
2020-04-07,5184
2020-04-08,5273
2020-04-09,4912
2020-04-10,3350
2020-04-11,2876
2020-04-12,1869
2020-04-13,1598
2020-04-14,2465
2020-04-15,3324
2020-04-16,3413
2020-04-17,3046
2020-04-18,2107
2020-04-19,1374
2020-04-20,1712
2020-04-21,2184
2020-04-22,2489
2020-04-23,2090
2020-04-24,1902
2020-04-25,1271
2020-04-26,698
2020-04-27,1114
2020-04-28,1473
2020-04-29,1428
2020-04-30,1464
2020-05-01,919
2020-05-02,622
2020-05-03,423
2020-05-04,727
2020-05-05,1094
2020-05-06,1219
2020-05-07,1203
2020-05-08,980
2020-05-09,677
2020-05-10,341
2020-05-11,689
2020-05-12,853
2020-05-13,914
2020-05-14,812
2020-05-15,734
2020-05-16,462
2020-05-17,317
2020-05-18,540
2020-05-19,730
2020-05-20,832
2020-05-21,418
2020-05-22,526
2020-05-23,337
2020-05-24,219
2020-05-25,411
2020-05-26,617
2020-05-27,653
2020-05-28,529
2020-05-29,446
2020-05-30,374
2020-05-31,178
2020-06-01,135
2020-06-02,307
2020-06-03,497
2020-06-04,530
2020-06-05,433
2020-06-06,285
2020-06-07,164
2020-06-08,295
2020-06-09,426
2020-06-10,518
2020-06-11,283
2020-06-12,353
2020-06-13,301
2020-06-14,172
2020-06-15,259
2020-06-16,518
2020-06-17,867
2020-06-18,765
2020-06-19,990
2020-06-20,571
2020-06-21,223
2020-06-22,447
2020-06-23,540
2020-06-24,510
2020-06-25,570
2020-06-26,573
2020-06-27,326
2020-06-28,201
2020-06-29,415
2020-06-30,458
2020-07-01,481
2020-07-02,471
2020-07-03,427
2020-07-04,294
2020-07-05,145
2020-07-06,323
2020-07-07,397
2020-07-08,451
2020-07-09,422
2020-07-10,427
2020-07-11,277
